person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id,updated_accessed_at
Lioara Tabacu,lioaratabacu,lioaratabacu@kappa.ro,2791004298257,1945-09-26,"Aleea Eftimie Nr. 646, Apahida, 124725",0743 866 192,e1:dc:22:ef:e1:67,104.148.147.131,RO24SKOA3571568904111565,2024-10-07 10:45:57,21085,429,404,992601,37cb0275-6495-4533-87d9-88103b3040a2,2025-05-08 10:14:48
Adina Nistor,adinanistor,adinanistor@email.ro,7130705153368,1955-01-19,"Bulevardul Preda Nr. 269, Sangeorz-Bai, 353339",0235 131 383,10:f7:6c:8b:33:b4,216.143.84.227,RO19TOZR2301843363463339,2024-10-16 07:33:30,23041,825,420,827764,fce90a45-43a0-4eb5-8888-ee8e048dd560,2025-05-08 10:14:48
Delia Dobre,deliadobre,deliadobre@kappa.ro,3640822467410,2023-01-10,"Strada Henrieta Florea, Balotesti, 639417",0750 549 847,c6:20:6b:80:c8:02,186.185.120.88,RO70XNEZ9091917617577777,2025-04-02 13:49:30,1120,973,108,1574848,6b156a26-144b-4c67-bb1a-4735a8bc6ca9,2025-05-08 10:14:48
Miron Dochioiu,mirondochioiu,mirondochioiu@kappa.ro,5510809366204,1972-08-15,"Aleea Ababei Nr. 93, Beclean, 302202",0728 400 331,9b:02:de:96:56:51,194.21.30.108,RO66USHO0014483771480307,2024-08-12 20:36:58,23151,136,666,1335570,5e08e3f9-8824-40ba-9096-6784e34e7e83,2025-05-08 10:14:48
Jenel Ardelean,jenelardelean,jenelardelean@kappa.ro,5660803011505,1969-03-22,"Soseaua Dobre Nr. 679, Bolintin-Vale, 670149",0244 597 835,4c:79:bf:fd:37:ea,27.251.167.1,RO13GKSC9885694688408143,2025-04-09 15:42:46,15321,392,356,320232,609f5b34-693d-4e70-bb57-5f40b484761d,2025-05-08 10:14:48
Sever Tudor,severtudor,severtudor@acasa.ro,5641008232884,2011-11-09,"Aleea Francisc Stănescu, Ludus, 240936",0740 628 468,5b:5b:47:3d:c0:e3,84.196.59.84,RO93TWKF0176894039476274,2025-03-03 10:46:30,27132,210,80,1395482,e3a1cdd5-f2ae-438e-b754-ceb9c6afed67,2025-05-08 10:14:48
Norica Dumitrescu,noricadumitrescu,noricadumitrescu@email.ro,5371102046532,1946-08-08,"Bulevardul Popescu, Galati, 962627",0260 043 499,f0:b8:ed:2f:30:58,53.171.133.222,RO09QYNR3920857606546762,2024-09-27 22:39:41,4619,527,467,1811530,35e809e8-f063-4efb-a990-f9af09ca8000,2025-05-08 10:14:48
Suzana Diaconu,suzanadiaconu,suzanadiaconu@acasa.ro,1911203349740,1967-03-16,"Intrarea Popa Nr. 360, Vulcan, 648895",0754 639 197,f1:6f:ef:0c:a3:48,116.200.190.0,RO61KIQI8608665466674289,2024-09-27 14:03:14,32925,481,640,1991120,93cb1feb-26e3-4d3d-8cb9-72393dba25f6,2025-05-08 10:14:48
Ana Dinu,anadinu,anadinu@zzup.ro,5940204180350,2021-10-22,"Intrarea Voinea Nr. 660, Campina, 301358",0247 822 502,7e:4b:96:39:d0:37,119.162.119.54,RO97LLDX4992756608237560,2025-03-30 15:51:04,4301,612,195,938915,174029bf-ce9f-45cc-ae2e-ca24253501bb,2025-05-08 10:14:48
Catrina Barbu,catrinabarbu,catrinabarbu@post.ro,4691028178599,2016-04-15,"Bulevardul Florea Nr. 909 Bl. 52  Sc. 65 Ap. 603, Tufesti, 294500",0741 169 587,e8:11:7a:ad:eb:af,144.125.63.225,RO63TNSY7478421345311331,2024-08-30 15:20:25,27194,326,16,460971,3c68dc44-494f-49de-b9fd-0a6fa8568214,2025-05-08 10:14:48
Aurora Voinea,auroravoinea,auroravoinea@kappa.ro,4600125161047,1968-01-28,"Soseaua Nistor Nr. 407, Otelu Rosu, 791998",0749 981 031,c0:c3:c1:d6:d0:06,120.212.117.203,RO72CPTD0087087251621027,2024-06-12 19:18:37,26317,844,448,354085,df14b76d-61cf-45ef-b252-7019ac955150,2025-05-08 10:14:48
Dalia Albu,daliaalbu,daliaalbu@acasa.ro,5811027020602,2016-02-05,"Soseaua Tudorița Ardelean Nr. 56 Bl. 28  Sc. 41 Ap. 175, Vlahita, 610698",0231 766 422,c2:10:38:73:ea:f6,26.128.245.19,RO69XAUT7940476163431343,2024-10-18 04:22:37,20478,34,309,1956906,4d30be4d-3bfc-435b-af76-dafe519b4df4,2025-05-08 10:14:48
Nicu Toma,nicutoma,nicutoma@acasa.ro,2551231519545,1932-09-04,"Drumul Sanda Preda, Balotesti, 976512",0757 658 501,fc:9b:f7:3d:d4:a1,160.84.205.233,RO34KBXF3701670852968389,2025-03-13 18:45:15,12566,968,162,1318991,87fc4c22-63bb-485b-9850-04cf41e0084f,2025-05-08 10:14:48
Anabela Ionescu,anabelaionescu,anabelaionescu@post.ro,1120119010348,2002-04-19,"Bulevardul Stancu Nr. 800 Bl. 14  Sc. 35 Ap. 361, Otopeni, 825578",0766 737 159,55:c1:02:94:3e:c7,141.240.221.254,RO80RMAG1445781558550189,2024-10-12 18:02:47,9964,314,438,595201,57881cf5-d1a5-480a-9a49-6ee9e0ecbfa1,2025-05-08 10:14:48
Aura Dinu,auradinu,auradinu@acasa.ro,7670914371645,1950-10-20,"Bulevardul Rebeca Stoica, Dorohoi, 235995",0265 653 358,74:96:2c:f3:10:ca,145.172.217.55,RO03SBEJ2707651032698229,2024-09-02 00:02:52,30689,498,391,1304525,91343b73-d3f7-4636-96c7-0397cdb7b634,2025-05-08 10:14:48
Camil Mazilescu,camilmazilescu,camilmazilescu@141.ro,7370530292803,2023-12-13,"Intrarea Alina Stancu Nr. 988 Bl. 65  Sc. 84 Ap. 620, Targu Frumos, 645167",0771 811 729,5f:db:f5:0d:9d:c0,210.150.127.18,RO96KOJN1071714977686691,2024-11-04 11:03:56,15891,972,197,923036,276188e5-5607-40d7-8a9d-b6b1baa65f2e,2025-05-08 10:14:48
Diana Dochioiu,dianadochioiu,dianadochioiu@email.ro,4921025079565,1994-01-29,"Soseaua Ioniță Nr. 288, Sacele, 355578",0742 320 254,31:53:68:22:13:a6,113.4.60.92,RO09ATLR5345004845084038,2025-01-01 05:56:31,12544,298,694,1786953,4778c079-fc20-4bde-a498-f85e0b0d291f,2025-05-08 10:14:48
Teona Georgescu,teonageorgescu,teonageorgescu@email.ro,7310114243573,1971-05-17,"Soseaua Dinu Nr. 290, Lipova, 416490",0258 542 872,f2:b5:6f:9d:c5:d7,40.137.228.147,RO26GIFL1904459704888497,2025-03-23 06:57:29,832,929,504,141704,a4f18981-25e5-4bb8-84db-0df83bbfa717,2025-05-08 10:14:48
Nelu Niță,neluniță,neluniță@zzup.ro,2120124383253,1924-01-09,"Aleea Tomescu Nr. 666, Odobesti, 706158",0753 515 356,7c:5b:8a:b1:b9:e3,182.33.159.241,RO86FFVA5671589586201762,2025-04-05 17:53:03,1871,890,507,1141918,c091670e-e3e2-4fe4-a465-ff2c12af3491,2025-05-08 10:14:48
Mugur Pușcașu,mugurpușcașu,mugurpușcașu@141.ro,3110514217186,1942-06-06,"Strada Gabriel Tudor, Rosiori de Vede, 134186",0756 855 063,24:d3:78:0b:8d:6b,14.34.91.92,RO17NHXV6133822452801946,2025-02-26 06:15:01,19321,197,458,1343199,be7d4b84-da84-4884-b5c1-3c648a7adb9b,2025-05-08 10:14:48
Damian Preda,damianpreda,damianpreda@zzup.ro,4450310469623,1958-07-25,"Soseaua Luca Manole, Medias, 198505",0747 726 191,fb:26:fc:19:ae:46,129.52.175.160,RO03JWTJ9758566447088341,2025-01-07 16:36:35,11700,662,346,876827,8432662e-d537-4ce4-931f-4609e5af633f,2025-05-08 10:14:48
Virginia Ababei,virginiaababei,virginiaababei@kappa.ro,1851026393551,1987-09-02,"Intrarea Mihai Dochioiu Nr. 35, Tulcea, 669762",0237 143 201,61:c1:e6:32:be:f3,97.218.27.91,RO78MBMN8576372492873821,2025-02-12 01:49:08,1754,83,553,1635796,9b7cd5eb-4c6c-40cb-9616-d04169e2b70e,2025-05-08 10:14:48
Marta Ionescu,martaionescu,martaionescu@zzup.ro,1741118433517,1976-03-31,"Bulevardul Popa Nr. 42 Bl. 51  Sc. 16 Ap. 896, Feldru, 942295",0250 516 988,9c:45:97:db:fc:e6,60.59.168.8,RO28ZWVO6461860904405767,2025-04-13 08:53:36,20662,929,54,920713,0e50ac1a-e468-4849-ae22-cb137ed92337,2025-05-08 10:14:48
Lili Pop,lilipop,lilipop@141.ro,6400221126526,1965-10-16,"Intrarea Diaconu, Pancota, 367846",0247 038 501,02:d2:a8:06:cd:90,1.151.206.136,RO02YCKM8571444317349224,2024-06-20 03:44:47,29313,1,590,964129,e6bd1434-ae05-42b4-ad4f-e97cbb684a5e,2025-05-08 10:14:48
Matei Ardelean,mateiardelean,mateiardelean@post.ro,1140512285250,1995-04-17,"Intrarea Florea, Negresti, 629410",0724 389 869,6c:0d:66:45:a2:3b,131.123.144.184,RO29EPHL8912931306902254,2024-06-28 18:11:40,6022,459,682,1283649,333b780c-b936-4d35-8256-9160c1cbf1db,2025-05-08 10:14:48
Anda Gheorghiu,andagheorghiu,andagheorghiu@email.ro,8600525276322,2013-08-27,"Soseaua Cornel Dima Nr. 589 Bl. 89  Sc. 31 Ap. 182, Marasesti, 256673",0788 802 201,50:c7:0f:64:a8:9e,142.121.25.45,RO60NOVK9951121171694810,2024-09-04 19:45:20,27931,929,99,1878472,c814ea68-17f1-4f5b-b885-cce4f0fbadbb,2025-05-08 10:14:48
Clementina Popescu,clementinapopescu,clementinapopescu@kappa.ro,8830929249556,2006-01-14,"Intrarea Diaconescu, Slobozia, 589148",0725 847 972,14:da:ac:02:2c:69,60.248.204.55,RO84SEGQ9214900300500970,2024-12-30 16:16:30,16503,908,593,1080800,9f972b7d-b448-4149-b80d-6a3ac773960b,2025-05-08 10:14:48
Timotei Diaconu,timoteidiaconu,timoteidiaconu@gmail.com,2030304340531,1984-07-05,"Drumul Barbu Nr. 959 Bl. 84  Sc. 36 Ap. 767, Curtici, 716092",0723 493 224,c3:65:83:e9:71:6e,213.220.163.184,RO09RGBB3164754264281420,2024-12-06 09:12:40,16291,545,477,1973888,9844f5e0-7f5a-4751-b4dd-5f50377c45ee,2025-05-08 10:14:48
Gică Manole,gicămanole,gicămanole@gmail.com,2930515223766,1976-09-23,"Soseaua Ababei Nr. 514, Pechea, 615289",0763 720 957,65:4d:81:98:f3:6f,145.122.129.13,RO37XDEU8580214512436631,2025-04-02 09:11:39,35187,975,652,1816318,aa9571a7-520d-4bd6-899d-ed2511c7ff3e,2025-05-08 10:14:48
Corneliu Voinea,corneliuvoinea,corneliuvoinea@141.ro,8951124128820,1933-12-20,"Aleea Lorin Diaconu Nr. 717 Bl. 60  Sc. 25 Ap. 231, Adjud, 246376",0743 688 718,ce:97:14:c2:25:db,190.90.90.51,RO41UMHI9130031689462971,2025-03-27 22:59:47,27612,414,73,1065002,30881d19-3889-4ae3-b123-c6fd3dbc0e9a,2025-05-08 10:14:48
Octaviu Dochioiu,octaviudochioiu,octaviudochioiu@gmail.com,5850423118271,2004-01-05,"Bulevardul Tudor Nr. 377 Bl. 83  Sc. 16 Ap. 233, Vulcan, 902803",0772 877 396,7f:22:33:c6:e1:5a,168.85.8.11,RO52GWEQ8645640053391409,2024-06-01 01:06:07,14564,535,67,1882434,2a9feb18-fd3e-42c4-9468-f8f5aba95b67,2025-05-08 10:14:48
Ada Stănescu,adastănescu,adastănescu@kappa.ro,2320420219382,2012-09-09,"Strada Stancu Ionescu Nr. 371, Targu Frumos, 282282",0723 020 885,73:3d:06:3a:a5:28,198.51.251.51,RO94FJMF1924385609907933,2024-11-26 09:04:01,18123,454,127,1462988,a02fa4c2-bf11-405d-baad-b0c78bc367d6,2025-05-08 10:14:48
Dan Georgescu,dangeorgescu,dangeorgescu@kappa.ro,5191209286844,1932-04-02,"Intrarea Ladislau Barbu, Vladimirescu, 380292",0724 696 177,1e:20:1f:0c:a9:95,131.110.187.102,RO47SPFK4587433998065323,2024-09-10 05:22:19,23685,392,440,720780,347af862-f60a-4a3e-86b2-9622d47cad7d,2025-05-08 10:14:48
Paulica Suciu,paulicasuciu,paulicasuciu@email.ro,8511212274829,1924-01-28,"Intrarea Dima, Gugesti, 205385",0231 680 212,4e:36:91:a2:e3:94,51.49.200.126,RO95SBFA1122252588325639,2025-04-06 06:41:28,33571,308,321,189565,0f306711-21aa-4c6a-8381-2b66312fc83a,2025-05-08 10:14:48
Vasile Ene,vasileene,vasileene@acasa.ro,5481124381617,1985-10-03,"Drumul Tudor Nr. 661, Cobadin, 671609",0772 131 990,58:a8:15:29:cb:1e,163.164.29.98,RO44OSXR4091774716980613,2025-03-29 22:43:12,2748,679,740,1543310,4147e016-199c-4e07-b894-483e3b129601,2025-05-08 10:14:48
Ciprian Nemeș,cipriannemeș,cipriannemeș@email.ro,3200519249298,1997-01-13,"Drumul Tiberia Tudor Nr. 80, Giurgiu, 302152",0250 797 218,23:37:b0:34:9d:dc,76.153.39.174,RO53RESA9928201211475844,2024-08-03 02:47:47,30106,958,680,12682,664fee1f-788e-4a16-9b71-51183879570f,2025-05-08 10:14:48
Jean Dima,jeandima,jeandima@post.ro,1260524022387,2003-04-22,"Strada Stănescu, Iasi, 972030",0720 113 190,aa:a5:84:3e:53:4d,130.200.120.47,RO46ZDIM6045611421176684,2024-11-20 03:34:50,30542,88,306,580586,0e5af739-d525-46a9-9c0a-623862b00d20,2025-05-08 10:14:48
Ilie Pușcașu,iliepușcașu,iliepușcașu@acasa.ro,8830828148174,1920-09-12,"Soseaua Tomescu, Blaj, 697470",0760 809 575,0c:c9:f5:c6:45:a6,83.227.30.248,RO84RDHY7754731985111624,2024-08-01 07:48:53,21957,208,692,39064,4faeaf08-bd79-44c8-b13c-1da95273cb80,2025-05-08 10:14:48
Carmen Pop,carmenpop,carmenpop@141.ro,7541008453668,1927-04-15,"Soseaua Ababei, Savinesti, 783461",0269 547 916,c3:8d:46:c3:a9:5a,96.152.56.51,RO38YCFY7584173434721454,2024-05-25 14:51:02,2581,860,88,453067,e87f5e37-022b-44bd-b84b-9e5fcdc46e20,2025-05-08 10:14:48
Aura Georgescu,aurageorgescu,aurageorgescu@gmail.com,4311131201608,2005-09-06,"Intrarea Eusebiu Popa Nr. 908 Bl. 65  Sc. 99 Ap. 838, Sovata, 289698",0731 798 047,fc:b1:1f:25:eb:9b,128.110.245.76,RO53WLJO8947967791843133,2024-08-26 21:59:23,8923,440,771,1623075,1b5f1d20-5a3f-47d6-a5c1-1e9123809e15,2025-05-08 10:14:48
Flavia Ene,flaviaene,flaviaene@kappa.ro,1430617061362,2002-11-07,"Soseaua Dumitra Gheorghiu, Darmanesti, 615377",0744 524 399,7d:43:42:95:7e:d7,11.213.126.133,RO75IGQV3815689315297769,2024-10-06 16:46:32,3436,10,433,570931,afa7cc98-d161-4b9f-bc3f-d3dbd23eb2e7,2025-05-08 10:14:48
Dochia Nistor,dochianistor,dochianistor@gmail.com,3351026185719,1916-10-09,"Drumul Gheorghiu, Bocsa, 174359",0762 511 126,ae:e3:8e:5c:16:59,4.244.172.118,RO05WCLK9859542770351451,2024-10-20 05:04:38,31892,73,107,788452,99f48a97-9b7b-4f5d-a4ec-5220cce1a804,2025-05-08 10:14:48
Mihail Mocanu,mihailmocanu,mihailmocanu@zzup.ro,8610705393646,1914-04-22,"Soseaua Oprea, Branesti, 293634",021 422 8102,8d:73:12:c4:4a:52,59.246.183.43,RO32TSPT9144706491746729,2024-07-07 02:30:33,16635,995,82,58306,c82eb61f-923b-4417-877b-7f6fbeb4bf87,2025-05-08 10:14:48
Adam Stan,adamstan,adamstan@zzup.ro,5410818292331,1980-01-06,"Soseaua Dochioiu Nr. 772 Bl. 83  Sc. 13 Ap. 507, Piatra-Neamt, 627656",0234 307 727,a7:43:f6:0a:63:7a,207.172.133.242,RO04UEVX2706213477051401,2024-09-01 17:24:23,35841,626,145,1078629,5aa81fd8-242e-453e-bf66-5e6dad6193c3,2025-05-08 10:14:48
Diana Diaconu,dianadiaconu,dianadiaconu@kappa.ro,2420618067706,2020-02-09,"Soseaua Dumitrana Aanei Nr. 55, Alba Iulia, 432362",0771 415 099,52:69:8a:bc:05:02,39.4.140.175,RO67YWVJ7331385783488793,2025-04-28 22:17:17,33989,80,352,869356,3cf5e4af-690c-4c43-8fe6-de768ec1ca9d,2025-05-08 10:14:48
Angela Ionescu,angelaionescu,angelaionescu@email.ro,2080720057195,2001-08-26,"Soseaua Ioniță Nr. 345, Bacau, 155875",0241 640 385,ba:84:d7:ef:fb:97,61.172.76.249,RO62DGIV3641809586322333,2024-12-10 01:15:58,26996,923,785,453419,bd08d451-8da9-40aa-be01-3669c800bd24,2025-05-08 10:14:48
Emanuel Dinu,emanueldinu,emanueldinu@zzup.ro,4290423299404,2011-07-14,"Drumul Tudor, Targu Secuiesc, 953504",0233 641 671,07:07:fb:85:d4:83,156.234.39.95,RO11CEXS4912873879982441,2024-12-25 15:20:51,1221,696,313,120371,0d8682b1-3983-4348-bdbf-aba108ee254f,2025-05-08 10:14:48
Amza Diaconescu,amzadiaconescu,amzadiaconescu@email.ro,1121211299037,1967-05-14,"Intrarea Suciu, Bistrita, 600471",0269 795 056,29:6a:66:a1:3c:e3,87.173.109.63,RO52AANJ1630209232522703,2025-04-15 12:23:39,13766,194,221,1462469,c42e66a1-7015-4d4a-b352-fccf747a36bb,2025-05-08 10:14:48
Gheorghiță Ioniță,gheorghițăioniță,gheorghițăioniță@kappa.ro,8071118205969,1935-12-10,"Bulevardul Suciu Nr. 282 Bl. 16  Sc. 48 Ap. 545, Suceava, 902391",0760 700 251,5f:ef:ca:95:b2:47,164.253.219.69,RO51SSBH0903489159973579,2025-01-20 09:33:52,22251,250,501,94842,cc774d14-b426-4ce7-843c-a9cecf49fa6a,2025-05-08 10:14:48
Ariana Tomescu,arianatomescu,arianatomescu@141.ro,2261117405467,1996-02-02,"Drumul Diaconu Nr. 264 Bl. 20  Sc. 15 Ap. 682, Dabuleni, 672402",0762 381 212,69:70:31:70:2b:1c,22.193.133.213,RO66MUJA9643039387959466,2024-12-02 02:14:28,3208,577,532,1446388,cd9d86e1-e7cc-48e5-af58-cd1c0515984e,2025-05-08 10:14:48
Cătălin Voinea,cătălinvoinea,cătălinvoinea@kappa.ro,2180630149020,1941-08-29,"Aleea Nistor Nr. 18, Sangeorgiu de Mures, 172522",0750 528 616,e9:78:8d:03:18:35,83.236.90.168,RO83DJDK1429062367593105,2024-07-25 20:04:54,3601,312,205,758862,0c4cb52c-0d80-412e-a456-9229f8533aa1,2025-05-08 10:14:48
Teodor Preda,teodorpreda,teodorpreda@141.ro,5210111306744,1982-01-02,"Aleea Lia Florea Nr. 65 Bl. 27  Sc. 12 Ap. 638, Caransebes, 398996",0768 036 071,20:22:c9:95:40:12,97.41.135.70,RO82YSCM5240828311888305,2024-10-26 22:14:56,28196,648,140,1424005,48dfd788-5e12-4789-b86c-acce64221b93,2025-05-08 10:14:48
Dumitra Ababei,dumitraababei,dumitraababei@email.ro,1920825333801,1939-05-28,"Aleea Ștefania Mocanu Nr. 86, Cajvana, 559513",0728 400 618,07:2f:e5:9a:40:e0,95.64.210.21,RO89LPNA5116551159976886,2024-11-07 16:22:39,22684,318,704,1575671,1b6a9888-2d1d-4b9b-90f4-d52873757679,2025-05-08 10:14:48
Vasilică Pop,vasilicăpop,vasilicăpop@post.ro,5100701152340,1992-04-04,"Bulevardul Ababei, Fundeni, 327021",0264 454 155,00:80:69:4e:5f:71,32.4.213.4,RO62AEFS6940046241043255,2024-09-22 09:13:28,31290,440,402,1804221,63c08137-1daf-4dcc-ab4b-d5059a948a7d,2025-05-08 10:14:48
Edmond Albu,edmondalbu,edmondalbu@kappa.ro,7361006324161,2001-08-06,"Intrarea Ardelean, Cristuru Secuiesc, 757701",0242 962 973,97:dd:08:b7:c2:a9,109.73.181.213,RO94UOQE6364378613372786,2024-08-22 16:24:03,33608,671,6,56136,e1e7bf2c-f2f8-4a17-a2f9-5f56a3bff8fa,2025-05-08 10:14:48
Draga Oprea,dragaoprea,dragaoprea@141.ro,6710207220944,1947-06-01,"Strada Valeriu Dobre Nr. 324, Valea lui Mihai, 772759",0720 151 638,62:ae:1b:46:95:ef,169.133.243.86,RO37AMAH6894982445017170,2025-03-20 03:18:03,20012,519,641,8347,fe8ff44c-65ec-49b2-85a3-ee6bafa99bca,2025-05-08 10:14:48
Emil Cristea,emilcristea,emilcristea@post.ro,7270724013441,1936-02-11,"Strada Manole Nr. 35, Stei, 864912",0237 922 408,6f:51:b9:a4:4b:c5,8.9.86.123,RO11TOGG8201933164544291,2024-05-20 13:54:22,11377,974,384,752751,9b0d560d-8eea-411e-85d8-5c03a8bcea79,2025-05-08 10:14:48
Luiza Stan,luizastan,luizastan@gmail.com,6080309069168,2021-01-01,"Drumul Nemeș Nr. 458 Bl. 41  Sc. 88 Ap. 187, Poienile de sub Munte, 914385",0745 386 019,4e:69:2d:7f:47:20,91.150.102.194,RO63FOKL0951889320417629,2024-07-11 11:54:44,3792,130,79,1340973,1477abb0-2083-413e-a885-60a31cbbe9ae,2025-05-08 10:14:48
Mugur Stan,mugurstan,mugurstan@acasa.ro,5521002413742,1977-08-07,"Soseaua Aanei Nr. 810 Bl. 98  Sc. 30 Ap. 498, Curcani, 133501",0788 116 678,e5:75:14:11:df:2a,7.60.188.115,RO44HAVE3724431874767496,2024-06-01 00:01:34,3270,795,706,1154917,0e0c25d3-efea-408a-9c1b-05a4edc66f61,2025-05-08 10:14:48
Clara Voinea,claravoinea,claravoinea@141.ro,7210628153031,1953-10-22,"Bulevardul Dobre Nr. 58 Bl. 94  Sc. 66 Ap. 770, Sighetu Marmatiei, 215483",0262 575 129,04:8f:ab:ca:03:5b,192.73.208.191,RO02VRJX6627119124103821,2024-11-01 07:33:46,18193,240,596,271147,ee16dce0-32d6-4ccf-9d3a-87ab9e497a10,2025-05-08 10:14:48
Petru Albu,petrualbu,petrualbu@kappa.ro,8950609041043,1963-01-04,"Intrarea Popescu Nr. 901 Bl. 87  Sc. 12 Ap. 855, Topoloveni, 807821",0753 082 608,bc:42:2a:f4:6f:21,219.165.0.211,RO73LVXR6674590586194464,2025-03-10 15:54:49,6413,212,223,798941,0a5b19df-0970-4578-b06c-8a35cefee114,2025-05-08 10:14:48
Daiana Suciu,daianasuciu,daianasuciu@post.ro,8460122022630,1978-08-01,"Bulevardul Nemeș, Bals, 177931",0265 602 669,82:35:dd:cf:4c:58,173.118.131.31,RO89TFYF0382494401885318,2024-06-24 21:08:10,26728,496,97,1892699,a12d2cc1-dd78-45d9-9ad0-1721cddeeca6,2025-05-08 10:14:48
Luiza Marin,luizamarin,luizamarin@email.ro,1561106276056,1911-08-30,"Drumul Dinu Nr. 37 Bl. 27  Sc. 29 Ap. 367, Remetea, 665311",0756 790 575,33:65:e2:55:df:0d,91.164.201.141,RO48MAFH3702179173158775,2024-10-04 22:19:31,2122,707,103,908341,c07b4264-acc4-412f-a16e-474fb494fbfc,2025-05-08 10:14:48
Vasilica Marin,vasilicamarin,vasilicamarin@kappa.ro,6280902027750,1992-09-16,"Intrarea Mădălin Tudor Nr. 16, Vulcan, 674103",0769 261 402,76:34:a3:ff:c0:83,70.134.33.208,RO28LSAP3456801620276170,2024-11-12 15:04:44,3350,156,540,1358917,5163ae16-8241-496f-b79d-a0e4d7d27e7c,2025-05-08 10:14:48
Lelia Eftimie,leliaeftimie,leliaeftimie@kappa.ro,1260706278780,1910-03-14,"Soseaua Mocanu, Toflea, 682409",0785 447 446,07:3e:7e:21:dc:8f,50.13.124.71,RO40RHCC1490209846641470,2024-05-24 21:03:35,2027,725,376,1481949,8b4b7ca5-f533-4540-a595-0eb83d942ca7,2025-05-08 10:14:48
Lascăr Oprea,lascăroprea,lascăroprea@acasa.ro,8830309054739,1931-11-20,"Soseaua Heracleea Dima, Pipera (Voluntari), 205445",0743 443 093,b8:a3:a4:51:34:93,80.254.242.115,RO49CCEU8081496698833219,2024-07-30 05:34:44,33229,40,172,1077267,6e1f4140-365b-4cb0-8aa7-22a249528183,2025-05-08 10:14:48
Augustin Dinu,augustindinu,augustindinu@gmail.com,3711102344316,1941-09-08,"Strada Preda, Fagetel (Remetea), 429545",0738 723 728,97:a7:e5:31:9f:21,57.143.19.203,RO92UUAU2861968310627752,2024-07-25 14:16:14,28285,861,717,563221,aec9e3e1-12e7-4808-a39d-e89ea32589b3,2025-05-08 10:14:48
Stancu Pop,stancupop,stancupop@zzup.ro,3401207198396,1945-05-25,"Bulevardul Teodosia Stoica Nr. 14 Bl. 57  Sc. 25 Ap. 772, Motatei, 455560",0754 012 269,60:72:65:aa:79:63,74.0.229.76,RO71YVKK7822395781797585,2025-01-29 04:21:44,34842,481,1,938921,aa707382-fa88-49ec-99dd-965f63458001,2025-05-08 10:14:48
Teodora Mocanu,teodoramocanu,teodoramocanu@gmail.com,2150607106649,2023-12-01,"Soseaua Haralambie Mazilescu Nr. 417 Bl. 33  Sc. 17 Ap. 245, Buftea, 225991",0238 347 569,d1:19:60:d5:3c:1d,99.2.222.214,RO36RIQS2914479011445984,2024-07-16 15:14:55,12519,863,634,701509,f95ef27c-8625-449c-b6ff-48309b157ee1,2025-05-08 10:14:48
Dacian Pop,dacianpop,dacianpop@post.ro,3060601289898,1980-10-16,"Bulevardul Nistor, Tomesti, 608764",0735 324 590,47:e2:ae:a1:75:96,47.222.104.89,RO58FBRY8681477835720900,2024-05-11 04:25:13,5875,422,231,1905168,72f79bcf-3232-4cd3-bb19-4723abfadbd4,2025-05-08 10:14:48
Bianca Toma,biancatoma,biancatoma@email.ro,5190412137194,1922-01-18,"Soseaua Dochioiu Nr. 67 Bl. 10  Sc. 77 Ap. 163, Seini, 132240",0768 270 245,c3:db:81:11:5e:ec,16.249.184.173,RO39VEXV1994108061903090,2024-10-06 08:17:59,23016,999,537,1490698,1ba63123-5e20-4d2d-ab70-89d2d70bcac7,2025-05-08 10:14:48
Gicu Stoica,gicustoica,gicustoica@acasa.ro,7230106197652,1983-09-20,"Drumul Pompiliu Barbu Nr. 799 Bl. 56  Sc. 41 Ap. 904, Resita, 568616",0772 879 643,53:8a:00:29:88:8a,188.213.62.140,RO82DNUI9288121676374286,2024-07-06 10:50:58,31775,749,49,1442138,6e4369b2-ca01-4375-9046-e16a73109245,2025-05-08 10:14:48
Tania Stancu,taniastancu,taniastancu@141.ro,5450118180229,1988-11-06,"Bulevardul Diaconescu Nr. 905, Dabuleni, 116930",0260 093 668,17:48:f7:3f:e1:83,149.168.170.88,RO96PXTU5959423237969706,2024-11-22 15:31:46,7554,569,107,1219474,4eaaa66d-d56b-49af-af5e-944f265be92d,2025-05-08 10:14:48
Agata Mazilescu,agatamazilescu,agatamazilescu@acasa.ro,6441220350965,1913-01-24,"Soseaua Mazilescu, Gherla, 500352",0239 421 811,e2:7b:30:6c:0a:39,17.70.207.255,RO51AGWX3150619781256092,2025-02-24 21:26:25,10716,237,180,605895,dab767c0-d790-4743-ab43-291f5a7b8b2f,2025-05-08 10:14:48
Casiana Stănescu,casianastănescu,casianastănescu@gmail.com,7461208327367,1991-05-25,"Strada Elodia Stancu Nr. 40 Bl. 53  Sc. 15 Ap. 243, Odorheiu Secuiesc, 926962",0725 010 735,cf:3e:1c:c3:12:69,115.43.182.72,RO65MODV5085667291169388,2024-07-15 00:43:45,35527,713,44,828839,311b0543-c4e4-4866-aae1-2f6b248c7c3c,2025-05-08 10:14:48
